state,vehicle_type_code,count,source_file
Sikkim,MMV,,RS_Session_258_AU_91_1.csv
Tamil Nadu,MMV,,RS_Session_258_AU_91_1.csv
Tripura,MMV,,RS_Session_258_AU_91_1.csv
Dadra and Nagar Haveli and Daman and Diu,MMV,,RS_Session_258_AU_91_1.csv
Uttar Pradesh,MMV,,RS_Session_258_AU_91_1.csv
Uttarakhand,MMV,,RS_Session_258_AU_91_1.csv
West Bengal,MMV,,RS_Session_258_AU_91_1.csv
Andaman and Nicobar Island,MPV,,RS_Session_258_AU_91_1.csv
Andhra Pradesh,MPV,,RS_Session_258_AU_91_1.csv
Arunachal Pradesh,MPV,,RS_Session_258_AU_91_1.csv
Assam,MPV,,RS_Session_258_AU_91_1.csv
Bihar,MPV,,RS_Session_258_AU_91_1.csv
Chandigarh,MPV,7.0,RS_Session_258_AU_91_1.csv
Chhattisgarh,MPV,1.0,RS_Session_258_AU_91_1.csv
Delhi,MPV,2.0,RS_Session_258_AU_91_1.csv
Goa,MPV,,RS_Session_258_AU_91_1.csv
Gujarat,MPV,60.0,RS_Session_258_AU_91_1.csv
Haryana,MPV,2.0,RS_Session_258_AU_91_1.csv
Himachal Pradesh,MPV,2.0,RS_Session_258_AU_91_1.csv
Jammu and Kashmir,MPV,2.0,RS_Session_258_AU_91_1.csv
Jharkhand,MPV,,RS_Session_258_AU_91_1.csv
Karnataka,MPV,,RS_Session_258_AU_91_1.csv
Kerala,MPV,1.0,RS_Session_258_AU_91_1.csv
Ladakh,MPV,,RS_Session_258_AU_91_1.csv
Madhya Pradesh,MPV,,RS_Session_258_AU_91_1.csv
Maharashtra,MPV,242.0,RS_Session_258_AU_91_1.csv
Manipur,MPV,,RS_Session_258_AU_91_1.csv
Meghalaya,MPV,,RS_Session_258_AU_91_1.csv
Mizoram,MPV,,RS_Session_258_AU_91_1.csv
Nagaland,MPV,,RS_Session_258_AU_91_1.csv
Odisha,MPV,,RS_Session_258_AU_91_1.csv
Puducherry,MPV,,RS_Session_258_AU_91_1.csv
